Team Name,WIP Limit,Past Throughput
Team Alpha,3,"2,3,1,2,3,2,1,3,2,1"
Team Beta,4,"3,4,2,3,3,4,2,3,4,3"
Team Gamma,2,"1,2,1,1,2,1,2,1,1,2"

Feature ID,Team,Name,Size
1,Team Alpha,User Authentication,8
2,Team Alpha,Dashboard UI,5
3,Team Alpha,Settings Page,3
4,Team Beta,API Integration,13
5,Team Beta,Data Processing,8
6,Team Beta,Export Functionality,5
7,Team Beta,Import Functionality,6
8,Team Gamma,Error Logging,3
9,Team Gamma,Performance Optimization,7
10,Team Alpha,User Profile,4
11,Team Beta,Search Feature,10
12,Team Gamma,Notification System,5
